Id,ActivityHour,mean_METs,total_METs,TotalIntensity,AverageIntensity,Calories,StepTotal,day_of_week,n_day_of_week,hour_of_day,date,Is_weekend,Cluster
Persona_9,2016-04-26 22:00:00,10.933333333333334,656.0,3.0,0.05,62.0,32.0,Tuesday,1,22,2016-04-26,False,Cluster1
Persona_27,2016-04-23 02:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,2,2016-04-23,True,Cluster1
Persona_9,2016-04-23 02:00:00,10.066666666666666,604.0,0.0,0.0,57.0,0.0,Saturday,5,2,2016-04-23,True,Cluster1
Persona_27,2016-04-13 23:00:00,10.033333333333331,602.0,0.0,0.0,68.0,0.0,Wednesday,2,23,2016-04-13,False,Cluster1
Persona_26,2016-05-04 03:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,3,2016-05-04,False,Cluster1
Persona_26,2016-04-25 18:00:00,22.1,1326.0,29.0,0.483333,143.0,784.0,Monday,0,18,2016-04-25,False,Cluster1
Persona_27,2016-05-04 03:00:00,10.066666666666666,604.0,0.0,0.0,68.0,0.0,Wednesday,2,3,2016-05-04,False,Cluster1
Persona_29,2016-04-17 20:00:00,11.166666666666666,670.0,4.0,0.066667,66.0,66.0,Sunday,6,20,2016-04-17,True,Cluster1
Persona_9,2016-04-17 20:00:00,14.95,897.0,16.0,0.266667,84.0,217.0,Sunday,6,20,2016-04-17,True,Cluster1
Persona_27,2016-04-25 18:00:00,50.25,3015.0,89.0,1.483333,341.0,2679.0,Monday,0,18,2016-04-25,False,Cluster1
Persona_27,2016-05-04 02:00:00,10.016666666666667,601.0,0.0,0.0,68.0,0.0,Wednesday,2,2,2016-05-04,False,Cluster1
Persona_27,2016-04-23 03:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,3,2016-04-23,True,Cluster1
Persona_29,2016-04-23 03:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Saturday,5,3,2016-04-23,True,Cluster1
Persona_26,2016-05-04 02:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,2,2016-05-04,False,Cluster1
Persona_9,2016-04-14 00:00:00,10.483333333333333,629.0,1.0,0.016667,59.0,8.0,Thursday,3,0,2016-04-14,False,Cluster1
Persona_29,2016-04-29 00:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Friday,4,0,2016-04-29,False,Cluster1
Persona_9,2016-04-25 17:00:00,14.6,876.0,16.0,0.266667,82.0,185.0,Monday,0,17,2016-04-25,False,Cluster1
Persona_27,2016-04-17 20:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Sunday,6,20,2016-04-17,True,Cluster1
Persona_9,2016-04-13 23:00:00,10.2,612.0,0.0,0.0,58.0,0.0,Wednesday,2,23,2016-04-13,False,Cluster1
Persona_27,2016-04-23 01:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,1,2016-04-23,True,Cluster1
Persona_26,2016-05-04 05:00:00,10.016666666666667,601.0,0.0,0.0,65.0,0.0,Wednesday,2,5,2016-05-04,False,Cluster1
